Species	AA	B1	C1	D1	E1	F1
Pseudomonas viridiflava	0.0	1e-05	0.0	0.0	0.0	0.0
Pyrenophora tritici-repentis	5e-05	0.00016	0.0	0.0	0.0	0.0
Rahnella bonaserana	1e-05	1e-05	0.0	0.0	0.0	0.0
Rathayibacter festucae	2e-05	7e-05	0.0	0.0	0.0	0.0
Rathayibacter sp. VKM Ac-2804	0.0	2e-05	0.0	0.0	0.0	0.0
Rhodococcoides fascians	1e-05	2e-05	0.0	0.0	0.0	0.0
Rivsvirus SNUABM5	0.0	0.0	0.0	0.0	0.0	0.0
Saccharibacillus brassicae	0.0	0.0	0.0	0.0	0.0	0.0
Saccharomyces cerevisiae	0.0742	0.02357	0.1411	0.20902	0.20524	0.22966
Saccharomyces eubayanus	4e-05	1e-05	0.00018	0.00022	0.00022	0.00022
Saccharomyces mikatae	0.0	0.0	0.0	0.0	0.0	0.0
Saccharomyces paradoxus	0.0001	3e-05	0.0002	0.00028	0.00028	0.00031
Saccharopolyspora gregorii	0.0	0.0	0.0	0.0	0.0	0.0
Sanguibacter biliveldensis	1e-05	8e-05	0.0	0.0	0.0	0.0
Secundilactobacillus paracollinoides	0.0	9e-05	6e-05	8e-05	7e-05	8e-05
Sodalis glossinidius	0.0	0.0	0.0	0.0	0.0	0.0
Sodalis praecaptivus	1e-05	4e-05	0.0	0.0	0.0	0.0
Sphingomonas aerolata	7e-05	0.00022	0.0	0.0	0.0	0.0
Sphingomonas albertensis	0.0	1e-05	0.0	0.0	0.0	0.0
Sphingomonas sp. PAMC26645	2e-05	6e-05	0.0	0.0	0.0	0.0
Staphylococcus equorum	0.0	2e-05	0.0	0.0	0.0	0.0
Staphylococcus succinus	0.0	1e-05	0.0	0.0	0.0	0.0
Stenotrophomonas maltophilia	0.0	1e-05	0.0	0.0	0.0	0.0
Stenotrophomonas rhizophila	0.0	0.0	0.0	0.0	0.0	0.0
Vibrio anguillarum	9e-05	1e-05	0.0002	0.00031	0.00029	0.00038
Weissella cibaria	0.0	0.0	0.0	0.0	0.0	0.0
Weissella paramesenteroides	0.0	0.0001	7e-05	8e-05	6e-05	0.00011
Xanthomonas sp. NCPPB 2632	0.0	2e-05	0.0	0.0	0.0	0.0
Zygotorulaspora mrakii	0.0	0.0	1e-05	1e-05	1e-05	1e-05
