	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
LSFkvassX	0.0	0.4575102040816327	0.037979591836734695	0.40330612244897956	0.4493265306122449	0.19393877551020408
LSFkvassY	0.4575102040816327	0.0	0.4430612244897959	0.17595918367346938	0.0983265306122449	0.26624489795918366
LSGFkvassX	0.037979591836734695	0.4430612244897959	0.0	0.3656734693877551	0.4116938775510204	0.17955102040816326
SDX	0.40330612244897956	0.17595918367346938	0.3656734693877551	0.0	0.09218367346938776	0.21353061224489797
SDY	0.4493265306122449	0.0983265306122449	0.4116938775510204	0.09218367346938776	0.0	0.25955102040816325
STDkvassX	0.19393877551020408	0.26624489795918366	0.17955102040816326	0.21353061224489797	0.25955102040816325	0.0
