	pielou_evenness
LSFkvassX	0.21832649513153649
LSFkvassY	0.06342409475535837
LSGFkvassX	0.3545987047654907
SDX	0.19559405905402374
SDY	0.13768271536383334
STDkvassX	0.20689512124976514
