# Constructed from biom file
#OTU ID	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
90ee235f42aecb4c43f656130f495549	26487.0	59240.0	27375.0	47342.0	62439.0	35150.0
d4e2333fc1b0c2cae161d9df32e2207d	23081.0	92.0	21878.0	4537.0	2264.0	13169.0
466cc5fbc86e172b9e6e8b3c1e0368bb	2.0	0.0	0.0	3691.0	3469.0	2.0
c547db08112010b6a46f04b05794f929	0.0	0.0	0.0	1443.0	41.0	4.0
6184f0b1e75cda5265da4646ba5fe76b	411.0	589.0	0.0	0.0	0.0	446.0
1e7d64c4c02b192dadd76ec40e09d674	0.0	0.0	0.0	0.0	700.0	0.0
b815668a1e362dc6a897d2895c351449	170.0	211.0	0.0	0.0	0.0	187.0
239f61c38384f345b4f26862579454ff	164.0	175.0	0.0	0.0	0.0	176.0
99cb0b2197e1568409956f3fc4b16269	131.0	119.0	0.0	0.0	0.0	94.0
88d0f7697b5fbfc74fff36a5485f11a6	0.0	169.0	0.0	0.0	170.0	0.0
7b650e26b2d5c36c557dbd01a3eac495	80.0	131.0	0.0	0.0	0.0	82.0
a2a481c804e59b765744703803824965	103.0	93.0	0.0	0.0	0.0	74.0
e736587b4c877c91b727877d3f7bf309	0.0	2.0	0.0	0.0	162.0	0.0
a6271b7e2876b50dadd562122a58b14d	0.0	0.0	0.0	90.0	61.0	0.0
e8cd786490e0bc79ca85345d6a7354d4	0.0	146.0	0.0	0.0	0.0	0.0
baa7b5455044e9617e4162035cb7a17d	0.0	0.0	0.0	63.0	50.0	0.0
b5d1cf5aa939f0660f3b21ae15d51b71	41.0	38.0	0.0	0.0	0.0	26.0
52b245fb5c9ae8f0436701396f9a274f	30.0	35.0	0.0	0.0	0.0	35.0
36e51c68bb1ed56abdd8221fdf5f504b	40.0	27.0	0.0	0.0	0.0	17.0
b85fa99e310c7a9098a79c6040854765	28.0	20.0	0.0	0.0	0.0	29.0
e6465910f6f2de05d65067e7c5224bfc	34.0	22.0	0.0	0.0	0.0	19.0
3bc4e82de7b4d02e5ad01ebb7637f1eb	36.0	19.0	0.0	0.0	0.0	16.0
58d7a800bcd8113aac0d535ff0985ce1	19.0	29.0	0.0	0.0	0.0	22.0
c1f24f988ee87b7b21097275c7f00458	0.0	0.0	0.0	64.0	0.0	0.0
11b679c031238e6e0cf86bdc0e8099c7	15.0	16.0	0.0	0.0	0.0	22.0
85d25bb0bdf6a7cda4813808a415861d	0.0	0.0	0.0	50.0	0.0	0.0
e25847723004a5d7948ea14ec367e7f6	0.0	0.0	0.0	44.0	0.0	0.0
a6d412574a3cef888924d43c72e33822	0.0	0.0	0.0	0.0	43.0	0.0
3aa0081a8470dd807f102395f9a98bef	1.0	22.0	0.0	0.0	0.0	17.0
8fe8e78dd3cc356a4c90b2dc01808e33	0.0	0.0	0.0	36.0	0.0	0.0
51b3906ba04194f08d8cec00a0b52fd2	12.0	16.0	0.0	0.0	0.0	7.0
e84e36644c69dbdb010ba62dc4074da2	0.0	0.0	0.0	34.0	0.0	0.0
5a1940fe7ecc431bc6b8654a4f2f55ef	0.0	0.0	0.0	31.0	0.0	0.0
c5fa500c894287ac81045d14238ec0fc	0.0	16.0	0.0	0.0	0.0	12.0
7fb671759e83e58c4a377951327da150	0.0	0.0	0.0	4.0	24.0	0.0
db63897d6188941b9f2000232d02a5e3	15.0	7.0	0.0	0.0	0.0	5.0
619358ef3949d26e8315a7e27e548096	15.0	12.0	0.0	0.0	0.0	0.0
af190c55090f4cec548cf041df158fde	0.0	19.0	0.0	0.0	0.0	7.0
c4895b28433b3c4f98c5615d8ccaef1e	0.0	15.0	0.0	0.0	0.0	11.0
b8f6759d312f1de655ef951649593ef0	0.0	0.0	0.0	13.0	12.0	0.0
1bfc398998d709f2fa8b7df9634f976b	0.0	0.0	0.0	9.0	16.0	0.0
218f5e2c34f975a9531ee640a7ea34c8	9.0	14.0	0.0	0.0	0.0	0.0
2c590bc73657b1dc15e521b7091b4977	21.0	0.0	0.0	0.0	0.0	0.0
970671c706d7946eae0d2e06750cb927	11.0	0.0	0.0	0.0	0.0	9.0
793e8327fb58ad0f55444bd28a7501fd	0.0	0.0	0.0	20.0	0.0	0.0
4b290c62d0c3f802050da9bad13c8b58	13.0	6.0	0.0	0.0	0.0	0.0
211994a9c7923e1abb0a405779031e75	17.0	0.0	0.0	0.0	0.0	0.0
0219ebe3e6385a175ff15e287dad8fa3	0.0	0.0	0.0	17.0	0.0	0.0
1dd14ccc4da5d5d2df4ab637b13114d0	0.0	0.0	0.0	17.0	0.0	0.0
f6766102d5a9a987985bf46be435a6c0	0.0	0.0	0.0	0.0	17.0	0.0
4982223e30989c98dc0b417f959354e0	7.0	0.0	0.0	0.0	0.0	7.0
9a0529b82cd530f71c34e85dc40272a8	0.0	14.0	0.0	0.0	0.0	0.0
8418ec63ef314bfcc08f28d5b4735299	0.0	0.0	0.0	14.0	0.0	0.0
afb2f933b8a01130b7a8ad25a89d7ac7	13.0	0.0	0.0	0.0	0.0	0.0
2edf260ae18d8da1cf7ba1f1e9ed225f	13.0	0.0	0.0	0.0	0.0	0.0
f0cea01ef40487b870666405688d7ee2	0.0	0.0	0.0	13.0	0.0	0.0
4353875d14dabd7fe11946d21ac50b66	0.0	0.0	0.0	0.0	13.0	0.0
58d6c81afc801cca2d1e384541ebd124	12.0	0.0	0.0	0.0	0.0	0.0
6c7b1169d769dd6d90eb0b82d40edd3d	12.0	0.0	0.0	0.0	0.0	0.0
