# Gene Family	AA_combined_Abundance-RPKs	B1_combined_Abundance-RPKs	C1_combined_Abundance-RPKs	D1_combined_Abundance-RPKs	E1_combined_Abundance-RPKs	F1_combined_Abundance-RPKs	Category	Gene_Short
UniRef90_A0A0G9GNC3|g__Lactobacillus.s__Lactobacillus_plantarum	3.77283	1.01708	2.26787	0.832274	1.91968	0.0	Immune_Complement	C3
UniRef90_A0A0G9GRC3	126.97	6.61718	68.7057	39.8422	58.9437	0.0	Immune_Complement	C3
UniRef90_A0A0G9GRC3|g__Lactobacillus.s__Lactobacillus_plantarum	126.97	6.61718	68.7057	39.8422	58.9437	0.0	Immune_Complement	C3
UniRef90_A0A0G9GSC3	0.0	4.73581	0.0	0.0	0.0	0.173668	Immune_Complement	C3
UniRef90_A0A0G9GSC3|g__Lactobacillus.s__Lactobacillus_plantarum	0.0	3.12949	0.0	0.0	0.0	0.173668	Immune_Complement	C3
UniRef90_A0A0G9GSC3|unclassified	0.0	1.60632	0.0	0.0	0.0	0.0	Immune_Complement	C3
UniRef90_A0A0G9GTC3	202.771	12.8181	99.4044	66.2446	98.1754	0.742252	Immune_Complement	C3
UniRef90_A0A0G9GTC3|g__Lactobacillus.s__Lactobacillus_plantarum	202.771	12.8181	99.4044	66.2446	98.1754	0.742252	Immune_Complement	C3
UniRef90_A0A0G9GXC3	41.7886	1.41619	20.6665	11.4044	18.6029	0.0	Immune_Complement	C3
UniRef90_A0A0G9GXC3|g__Lactobacillus.s__Lactobacillus_plantarum	41.7886	1.41619	20.6665	11.4044	18.6029	0.0	Immune_Complement	C3
UniRef90_A0A0L0C3J4	0.0544514	0.0506012	0.171112	0.267037	0.183848	0.18892	Immune_Complement	C3
UniRef90_A0A0L0C3J4|unclassified	0.0544514	0.0506012	0.171112	0.267037	0.183848	0.18892	Immune_Complement	C3
UniRef90_A0A0L8RC30	2.03039	0.577211	3.47282	5.36392	5.23436	6.73332	Immune_Complement	C3
UniRef90_A0A0L8RC30|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.03039	0.577211	3.47282	5.36392	5.23436	6.73332	Immune_Complement	C3
UniRef90_A0A0M0EC38	0.0	0.206519	0.0	0.0	0.0	0.0342369	Immune_Complement	C3
