	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
LSFkvassX	0	0.01093634869903326	0.01422292273491621	0.06084787845611572	0.03823103383183479	0.005790370516479015
LSFkvassY	0.01093634869903326	0	0.02135884948074818	0.05806627497076988	0.03235515952110291	0.006324084475636482
LSGFkvassX	0.01422292273491621	0.02135884948074818	0	0.0645470917224884	0.04217582568526268	0.01526953279972076
SDX	0.06084787845611572	0.05806627497076988	0.0645470917224884	0	0.02656285837292671	0.05750291794538498
SDY	0.03823103383183479	0.03235515952110291	0.04217582568526268	0.02656285837292671	0	0.03494524210691452
STDkvassX	0.005790370516479015	0.006324084475636482	0.01526953279972076	0.05750291794538498	0.03494524210691452	0
