	shannon_entropy
LSFkvassX	1.2948370964558453
LSFkvassY	0.36499853024364354
LSGFkvassX	0.9954844191786516
SDX	1.0189381292360116
SDY	0.6821072004595495
STDkvassX	1.1010809584742525
