# Gene Family	AA_combined_Abundance-RPKs	B1_combined_Abundance-RPKs	C1_combined_Abundance-RPKs	D1_combined_Abundance-RPKs	E1_combined_Abundance-RPKs	F1_combined_Abundance-RPKs
K00045|g__Saccharomyces.s__Saccharomyces_cerevisiae	1.49806	0.538479	3.27092	5.02643	4.98752	5.33222
K00048	0.113185	0.488201	0.0	0.0	0.0	0.0
K00048|g__Pantoea.s__Pantoea_agglomerans	0.0377283	0.284784	0.0	0.0	0.0	0.0
K00048|g__Pantoea.s__Pantoea_vagans	0.0754566	0.203417	0.0	0.0	0.0	0.0
K00052	2.2068	0.881617	5.22754	8.9386	7.99926	9.8899
K00052|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.2068	0.881617	5.22754	8.9386	7.99926	9.8899
K00053	3.8733	1.80573	6.8472	10.1144	10.7655	11.2819
K00053|g__Lactobacillus.s__Lactobacillus_coryniformis	0.0	0.14159	0.0	0.0	0.0	0.0
K00053|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.8733	1.66414	6.8472	10.1144	10.7655	11.2819
K00054	106.254	4.62136	54.3982	30.4603	45.8976	0.154981
K00054|unclassified	106.254	4.62136	54.3982	30.4603	45.8976	0.154981
K00055	135.144	167.44562	139.77800000000002	147.2626	140.2304	156.933501
K00055|g__Lactobacillus.s__Lactobacillus_brevis	0.0	162.296	77.4119	105.952	78.7011	156.785
K00055|g__Lactobacillus.s__Lactobacillus_plantarum	77.0493	3.15468	35.4494	23.3807	33.9182	0.148501
K00055|unclassified	58.0948	1.99494	26.9167	17.9299	27.6111	0.0
K00057	58.631944000000004	194.63393000000002	116.2122	128.8592	114.6097	168.702
K00057|g__Lactobacillus.s__Lactobacillus_brevis	0.203544	192.359	89.3754	108.993	87.3208	168.702
K00057|unclassified	58.4284	2.27493	26.8368	19.8662	27.2889	0.0
K00058	169.75713	7.931203	87.87377000000001	50.319140000000004	70.5355	7.4578
K00058|g__Lactobacillus.s__Lactobacillus_plantarum	167.297	7.48495	83.2741	43.8273	64.5772	0.34194
K00058|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.46013	0.446253	4.59967	6.49184	5.9583	7.11586
K00059	138.24488	9.4305298	68.99293	53.19282	76.04211	9.744915
K00059|g__Acetobacter.s__Acetobacter_tropicalis	0.0	1.489553	0.0	0.0	0.0	0.0
K00059|g__Lactobacillus.s__Lactobacillus_plantarum	135.832	6.87066	61.6331	43.7572	66.2576	0.241625
K00059|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.41288	0.975692	7.35983	9.43562	9.78451	9.50329
K00059|unclassified	0.0	0.0946248	0.0	0.0	0.0	0.0
K00062	2.85491	0.852504	5.58256	9.8439	9.28678	11.4064
K00062|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.85491	0.852504	5.58256	9.8439	9.28678	11.4064
K00063	3.36404	0.688771	5.21658	9.49374	10.0049	10.7227
K00063|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.36404	0.688771	5.21658	9.49374	10.0049	10.7227
K00064	0.0	0.181442	0.0	0.0	0.0	0.0
K00064|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.181442	0.0	0.0	0.0	0.0
K00065	0.0	223.33	88.3192	111.085	83.8836	156.65
K00065|g__Lactobacillus.s__Lactobacillus_brevis	0.0	223.33	88.3192	111.085	83.8836	156.65
K00067	0.0	0.293262	0.0	0.0	0.0	0.0
K00067|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.293262	0.0	0.0	0.0	0.0
K00075	157.661	216.79203	168.0743	165.1247	158.776	173.16376799999998
K00075|g__Lactobacillus.s__Lactobacillus_brevis	0.0	211.091	96.7056	120.211	90.4317	172.938
K00075|g__Lactobacillus.s__Lactobacillus_plantarum	157.661	5.70103	71.3687	44.9137	68.3443	0.225768
K00077	2.2719	1.564308	6.47151	8.93693	9.10136	9.87928
K00077|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.394028	0.0	0.0	0.0	0.0
K00077|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.2719	1.17028	6.47151	8.93693	9.10136	9.87928
K00086	95.9597	4.09837	44.326	31.0548	44.1544	0.104656
K00086|unclassified	95.9597	4.09837	44.326	31.0548	44.1544	0.104656
K00088	5.86886	2.402551	12.37373	18.756639999999997	17.83171	22.7412
K00088|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.229418	0.0	0.0	0.0	0.0
K00088|g__Saccharomyces.s__Saccharomyces_cerevisiae	5.86886	2.173133	12.37373	18.756639999999997	17.83171	22.7412
K00099	0.0	0.241923	0.0	0.0	0.0	0.0
K00099|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.241923	0.0	0.0	0.0	0.0
K00101	2.98364	0.675147	4.7992	6.52725	6.6231	7.92604
K00101|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.98364	0.675147	4.7992	6.52725	6.6231	7.92604
K00102	3.16934	1.51146	6.90551	9.94262	9.74688	11.5693
K00102|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.16934	1.51146	6.90551	9.94262	9.74688	11.5693
K00105	128.865	4.94922	66.4002	35.7268	55.2063	0.247123
K00105|g__Lactobacillus.s__Lactobacillus_plantarum	128.865	4.94922	66.4002	35.7268	55.2063	0.247123
K00107	3.32846	0.795485	6.57083	9.81836	9.31843	11.1812
K00107|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.32846	0.795485	6.57083	9.81836	9.31843	11.1812
K00111	2.26914	0.948752	3.79688	6.43888	6.63699	6.95482
K00111|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.26914	0.948752	3.79688	6.43888	6.63699	6.95482
K00116	0.0921633	0.0	0.0	0.0	0.0	0.0
K00116|g__Pantoea.s__Pantoea_agglomerans	0.0502709	0.0	0.0	0.0	0.0	0.0
K00116|g__Pantoea.s__Pantoea_vagans	0.0418924	0.0	0.0	0.0	0.0	0.0
K00117	0.0	0.306026	0.0	0.0	0.0	0.0
K00117|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.306026	0.0	0.0	0.0	0.0
K00121	1.83919	0.582914	4.52812	7.27009	6.60128	8.67332
K00121|g__Saccharomyces.s__Saccharomyces_cerevisiae	1.83919	0.582914	4.52812	7.27009	6.60128	8.67332
K00124	0.0	0.439446	0.0	0.0	0.0	0.0
K00124|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.276929	0.0	0.0	0.0	0.0
